distance_from_home,distance_from_last_transaction,ratio_to_median_purchase_price,repeat_retailer,used_chip,used_pin_number,online_order,fraud
4.597583193,0.08418158667,0.964719577,1,0,0,0,0
2.847322825,2.212333643,0.2035930897,1,0,0,1,0
4.248421794,5.191844239,0.2471231754,1,1,1,1,0
8.495267235,0.19411936,0.3616999362,1,1,0,1,0
38.47338901,0.7465047232,3.119982417,1,0,0,1,0
15.63287831,12.06580525,2.327000782,1,0,0,1,0
36.47161727,0.4169179986,0.3705434484,1,0,0,1,0
26.39059766,0.6189492334,0.9431476002,1,0,0,1,0
30.62333125,37.64225377,0.9228673572,1,0,0,0,0
37.70122367,8.210104583,0.6983122689,1,0,0,1,0
45.44048056,1.028496015,0.287547648,1,1,0,1,0
23.03523206,1.021039763,1.874723227,1,0,0,0,0
11.92331666,86.307916,0.3569220315,1,0,0,0,0
57.75446861,0.6079894598,1.160669659,1,0,0,1,0
3.607276218,0.4762348217,4.219217316,1,1,0,0,0
5.541836673,6.435582489,0.8971853317,1,1,0,1,0
28.15134109,0.1084050139,0.4868792189,1,0,0,1,0
17.3166438,0.6864084298,2.865522091,1,1,0,0,0
4.944436302,0.2772800046,0.3807474961,1,1,1,1,0
51.49484,1.036186164,2.162346811,1,1,0,1,0
5.116901457,0.1290816393,0.4880679439,1,0,0,0,0
7.099861379,0.1352279433,2.006797651,1,0,0,0,0
8.702560857,0.07705601388,1.859548195,1,1,0,1,0
25.97521573,4.45758938,0.2557738293,1,0,1,1,0
14.18823661,0.008347941792,5.225752496,1,1,0,1,1
14.12004761,2.446209343,1.682931243,1,0,0,0,0
570.6478857,6.27619151,0.2586161538,1,0,0,1,1
133.7534031,0.7282625962,2.480995297,1,1,0,1,0
8.312415014,0.7237426837,0.4482579819,1,0,0,1,0
87.23008494,0.4823324787,0.6238782643,1,1,0,1,0
35.83359605,0.7591527571,8.628372323,1,0,0,1,1
186.1759696,1.079645694,0.239743657,1,0,0,1,1
